bill_id,chamber,vote_id,OKL000171,OKL000267,OKL000180,OKL000254,OKL000172,OKL000193,OKL000197,OKL000186,OKL000167,OKL000200,OKL000257,OKL000183,OKL000065,OKL000201,OKL000185,OKL000190,OKL000261,OKL000187,OKL000256,OKL000203,OKL000178,OKL000198,OKL000165,OKL000184,OKL000191,OKL000264,OKL000194,OKL000259,OKL000195,OKL000202,OKL000265,OKL000188,OKL000253,OKL000266,OKL000189,OKL000260,OKL000169,OKL000096,OKL000166,OKL000058,OKL000116,OKL000066,OKL000093,OKL000051,OKL000064,OKL000103,OKL000086,OKL000074,OKL000092,OKL000115,OKL000056,OKL000123,OKL000090,OKL000109,OKL000146,OKL000108,OKL000132,OKL000143,OKL000125,OKL000118,OKL000111,OKL000121,OKL000098,OKL000060,OKL000104,OKL000105,OKL000087,OKL000113,OKL000054,OKL000124,OKL000126,OKL000057,OKL000100,OKL000106,OKL000133,OKL000077,OKL000134,OKL000149,OKL000082,OKL000174,OKL000130,OKL000061,OKL000084,OKL000097,OKL000110,OKL000127,OKL000147,OKL000055,OKL000062,OKL000129,OKL000140,OKL000075,OKL000063,OKL000072,OKL000089,OKL000107,OKL000069,OKL000059,OKL000144,OKL000081
OKB00010007,upper,OKV00012067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010007,lower,OKV00012601,,1,1,1,2,1,1,1,2,,2,1,1,1,1,,,1,1,1,2,2,1,1,2,1,1,1,1,2,2,,1,1,2,,1,1,1,1,1,2,1,,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,2,1,1,1,2,2,1,,2,,1,1,2,1,1,1,,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,,1,2,1,1,1,1
OKB00010277,upper,OKV00012119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010277,lower,OKV00012563,,1,1,1,,1,1,2,,2,2,1,1,1,1,1,2,,1,1,2,2,2,1,1,2,1,2,1,1,2,1,1,1,2,,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,,2,1,1,2,2,1,1,1,1,2,1,1,1,2,2,2,2,1,,1,1,1,2,2,1,1,2,1,,1,2,1,1,1,2,2,2,1,1,1,,,,1,1,1,2,2
OKB00011779,lower,OKV00012025,,2,1,1,,1,,1,1,2,1,2,1,2,2,1,1,1,2,2,1,1,1,2,1,1,2,2,2,1,1,1,1,2,1,,1,1,,1,1,1,1,2,,,1,,1,2,1,2,,,1,1,,1,2,,2,1,1,1,1,1,1,1,1,1,1,1,,1,1,2,,1,,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,,1,1,2,1,1
OKB00011779,upper,OKV00012872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00011399,upper,OKV00012508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00011399,lower,OKV00012926,2,1,1,1,,1,1,2,2,2,2,1,1,1,1,1,,1,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,1,2,,1,2,1,2,1,2,1,2,,,,1,2,2,1,2,2,1,1,1,,1,1,1,1,2,2,1,1,2,,,1,2,2,1,,1,1,2,,1,2,1,1,1,2,1,,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1
OKB00011473,lower,OKV00011856,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,1,1,1,1,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,,,1,1,,,1,,1,,1
OKB00011473,upper,OKV00012645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010269,upper,OKV00012108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010269,lower,OKV00012540,,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,2,2,2,,2,1,1,1,2,1,,2,2,2,1,2,1,2,2,1,2,1,2,1,2,2,2,2,2,1,2,1,1,1,2,2,1,1,2,2,1,2,1,2,,2,2,1,1,2,2,2
OKB00010846,lower,OKV00011737,,1,1,1,1,1,1,1,,1,,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,2,1,1,1,1,1,,1,1,1,,1,1,1,1,1,,1,2,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,,1,1,1,1,,1
OKB00010846,upper,OKV00012653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010709,lower,OKV00011708,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,,,1
OKB00010709,upper,OKV00012599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010271,lower,OKV00011632,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,2,1,1,,1,1,1,,1,1,1,2,1,1,2,1,,1,1,1,1,1,1,,1,1,1,2,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
OKB00010271,upper,OKV00012631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010556,upper,OKV00012384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010556,lower,OKV00013036,,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,,,,,1,1,1,1,,,,2,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,2,,1,1,,1,,1,1,1,1,1,,1,1,,1,1,1,1,1,2,1,1,1,1,,1,1,,,1,,,1,,1,1,1,1,1,1,2,1,,,1,,1,1,,1,1,1
OKB00011334,lower,OKV00011887,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,,,1,,,1,1,1,1,,1,,1,,,1,1,1,,1,1,1,1,1,,1,,1,,,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,,1,,1,,1
OKB00011334,upper,OKV00012996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010140,lower,OKV00012191,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OKB00010140,upper,OKV00012675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010965,lower,OKV00012514,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
OKB00010965,upper,OKV00012696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010382,upper,OKV00012232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010382,lower,OKV00012700,,1,1,1,1,1,1,1,1,1,2,1,,1,1,1,,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,2,1,1,1,2,1,1,,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,1
OKB00010970,upper,OKV00012236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010970,upper,OKV00012234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKB00010970,lower,OKV00012701,,1,1,1,1,1,1,2,,2,2,1,,1,,1,2,1,1,1,,1,1,2,1,1,1,,1,2,2,2,1,1,2,,1,1,1,,1,2,1,1,,,1,2,1,2,1,1,,1,1,,2,1,2,1,1,,2,1,1,2,2,2,,2,,1,,,1,2,1,1,,2,2,1,1,2,1,1,2,2,2,1,1,1,1,,1,1,,1,,1
OKB00011027,lower,OKV00011598,,1,1,1,1,1,1,2,,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,,,1,,,,1,1,,,1,1,1,1,1,1,,,2,,,1,2,1,1,1,1,1,1,,1,1,2,1,1,1,1,1,1,,1,2,,1,1,2,,2,1,,1,,1,1,1,1,2,,1,1,1,,,,1,,,1,1,,1,2,1
